country,year,banking_crisis,systemic_crisis,gold_standard,exch_usd,national_currency,exch_sources,domestic_debt_in_default,soreign_extenal_deb_1,soreign_extenal_deb_2,gdp_weighted_default,inflation_annual_percentages_average,independence,currency_crises,inflation_crises,id
Algeria,1921.0,0.0,0.0,0,0.12748,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,90
Algeria,1922.0,0.0,0.0,0,0.13832,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,91
Algeria,1923.0,0.0,0.0,0,0.19049,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,92
Algeria,1924.0,0.0,0.0,0,0.18522,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,93
Algeria,1925.0,0.0,0.0,0,0.26768,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,94
Algeria,1926.0,0.0,0.0,0,0.25322,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,95
Algeria,1927.0,0.0,0.0,0,0.25383,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,96
Algeria,1928.0,0.0,0.0,1,0.25575,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,97
Algeria,1929.0,0.0,0.0,1,0.25387,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,98
Algeria,1930.0,0.0,0.0,1,0.25452,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,99
Algeria,1931.0,0.0,0.0,1,0.25491,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,100
Algeria,1932.0,0.0,0.0,1,0.25621,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,101
Algeria,1933.0,0.0,0.0,1,0.16335,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,102
Algeria,1934.0,0.0,0.0,1,0.15158,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,103
Algeria,1935.0,0.0,0.0,1,0.15154,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,104
Algeria,1936.0,0.0,0.0,1,0.21422,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,105
Algeria,1937.0,0.0,0.0,0,0.29455,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,106
Algeria,1938.0,0.0,0.0,0,0.37994,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,107
Algeria,1939.0,0.0,0.0,0,0.44903,32.0,9,0.0,0.0,0.0,0.0,9.8,0,0,0.0,108
Algeria,1940.0,0.0,0.0,0,0.49189,32.0,9,0.0,0.0,0.0,0.0,22.2,0,0,1.0,109
Algeria,1941.0,0.0,0.0,0,0.44937,32.0,9,0.0,0.0,0.0,0.0,16.4,0,0,0.0,110
Algeria,1942.0,0.0,0.0,0,0.75,32.0,9,0.0,0.0,0.0,0.0,28.1,0,0,1.0,111
Algeria,1943.0,0.0,0.0,0,0.5,32.0,9,0.0,0.0,0.0,0.0,46.3,0,1,1.0,112
Algeria,1944.0,0.0,0.0,0,0.5,32.0,9,0.0,0.0,0.0,0.0,41.7,0,1,1.0,113
Algeria,1945.0,0.0,0.0,0,1.191,32.0,9,0.0,0.0,0.0,0.0,29.4,0,0,1.0,114
Algeria,1946.0,0.0,0.0,0,1.191,32.0,9,0.0,0.0,0.0,0.0,18.2,0,0,0.0,115
Algeria,1947.0,0.0,0.0,0,1.193,32.0,9,0.0,0.0,0.0,0.0,69.2,0,0,1.0,116
Algeria,1948.0,0.0,0.0,0,2.662,32.0,9,0.0,0.0,0.0,0.0,63.6,0,0,1.0,117
Algeria,1949.0,0.0,0.0,0,3.49,32.0,9,0.0,0.0,0.0,0.0,23.6,0,0,1.0,118
Algeria,1950.0,0.0,0.0,0,3.499,32.0,9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,119
Algeria,1951.0,0.0,0.0,0,3.5,32.0,9,0.0,0.0,0.0,0.0,6.7,0,0,0.0,120
Algeria,1952.0,0.0,0.0,0,3.5,32.0,9,0.0,0.0,0.0,0.0,6.3,0,0,0.0,121
Algeria,1953.0,0.0,0.0,0,3.5,32.0,9,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,122
Algeria,1954.0,0.0,0.0,0,3.5,32.0,9,0.0,0.0,0.0,0.0,1.0,0,0,0.0,123
Algeria,1955.0,0.0,0.0,0,3.5,32.0,9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,124
